cid	author	title	year
1066608088401708066	SD Turner-Hissong, ME Mabry, TM Beissinger, J Ross-Ibarra, JC Pires	Evolutionary insights into plant breeding	2020
13046200421462083749,13021360675733443150	Q Orozco-Ramírez, J Ross-Ibarra, A Santacruz-Varela, S Brush	Maize diversity associated with social origin and environmental variation in Southern Mexico	2016
5656251523520837481	L Wang, EB Josephs, KM Lee, LM Roberts, R Rellán-Álvarez, ...	Molecular parallelism underlies convergent highland adaptation of maize landraces	2021
3273553693892067877	MG Stetter, K Thornton, J Ross-Ibarra	Genetic architecture and selective sweeps after polygenic adaptation to distant trait optima	2018
18298112768791508981	JP Gerke, JW Edwards, KE Guill, J Ross-Ibarra, MD McMullen	The genomic impacts of drift and selection for hybrid performance in maize	2015
4378530448644595594,13172941186413574025	B Song, ES Buckler, H Wang, Y Wu, E Rees, EA Kellogg, DJ Gates, ...	Conserved noncoding sequences provide insights into regulatory sequence and loss of gene expression in maize	2021
2541886074262287878,8924460428753965278	AC Barnes, F Rodríguez-Zapata, KA Juárez-Núñez, DJ Gates, GM Janzen, ...	An adaptive teosinte mexicana introgression modulates phosphatidylcholine levels and is associated with maize flowering time	2022
4811395532917369896	J Ross-Ibarra	Origen y domesticacion de la chaya (Cnidoscolus aconitifolius Mill IM Johnst): La espinaca Maya	2003
4120965274846987962	EB Josephs, JJ Berg, J Ross-Ibarra, G Coop	Detecting adaptive differentiation in structured populations with genomic data and common gardens	2019
15394221802384617228	J Van Heerwaarden, FA Van Eeuwijk, J Ross-Ibarra	Genetic diversity in a crop metapopulation	2010
1965523728393558029	JD Hollister, J Ross-Ibarra, BS Gaut	Indel-associated mutation rate varies with mating system in flowering plants	2010
9340353919503578071	J Van Heerwaarden, J ROSS‐IBARRA, J Doebley, JC Glaubitz, ...	Fine scale genetic structure in the wild ancestor of maize (Zea mays ssp. parviglumis)	2010
7426372046771115962	J Ross-Ibarra	Quantitative trait loci and the study of plant domestication	2005
7610480527513064046	Q Chen, LF Samayoa, CJ Yang, PJ Bradbury, BA Olukolu, MA Neumeyer, ...	The genetic architecture of the maize progenitor, teosinte, and how it was altered during maize domestication	2020
13372045702551332348	SN Anderson, MC Stitzer, P Zhou, J Ross-Ibarra, CD Hirsch, NM Springer	Dynamic patterns of transcript abundance of transposable element families in maize	2019
16295130435365990103,2456547071832294344	A Muyle, J Ross-Ibarra, DK Seymour, BS Gaut	Gene body methylation is under selection in Arabidopsis thaliana	2021
14594985058292814073	DJ Gates, D Runcie, GM Janzen, AR Navarro, M Willcox, K Sonder, ...	Single-gene resolution of locally adaptive genetic variation in Mexican maize	2019
684436662966421061	J Ross‐Ibarra	Genome size and recombination in angiosperms: a second look	2007
3273742166310424316,14964455021812411272,6253902269778730814,1188360045255703991	AM O’Brien, RJH Sawers, J Ross-Ibarra, SY Strauss	Evolutionary responses to conditionality in species interactions across environmental gradients	2018
13724877679765824056	MC Neel, J Ross‐Ibarra, NC Ellstrand	Implications of mating patterns for conservation of the endangered plant Eriogonum ovalifolium var. vineum (Polygonaceae)	2001
4675131869514095820	TK Wolfgruber, MM Nakashima, KL Schneider, A Sharma, Z Xie, PS Albert, ...	High quality maize centromere 10 sequence reveals evidence of frequent recombination events	2016
445881558823431528	R Torres, MG Stetter, RD Hernandez, J Ross-Ibarra	The temporal dynamics of background selection in nonequilibrium populations	2020
8050740196543639739	E Gonzalez-Segovia, S Pérez-Limon, GC Cíntora-Martínez, ...	Characterization of introgression from the teosinte Zea mays ssp. mexicana to Mexican highland maize	2019
15690173176823572703,5159519491829986435	MR May, MC Provance, AC Sanders, NC Ellstrand, J Ross-Ibarra	A Pleistocene clone of Palmer's oak persisting in southern California	2009
6251633562887283614	AI Hudson, SG Odell, P Dubreuil, MH Tixier, S Praud, DE Runcie, ...	Analysis of genotype-by-environment interactions in a maize mapping population	2022
17853791691398286654	OF Berry	Mitochondrial DNA and population size	2006
7419221198329577195	A Lorant, S Pedersen, I Holst, MB Hufford, K Winter, D Piperno, ...	The potential role of genetic assimilation during maize domestication	2017
9054275167516914311	LB Kanizay, T Pyhäjärvi, EG Lowry, MB Hufford, DG Peterson, ...	Diversity and abundance of the abnormal chromosome 10 meiotic drive complex in Zea mays	2013
11343709371087280313	O Aburto-Oropeza, AF Johnson, M Agha, EB Allen, MF Allen, JA González, ...	Harnessing cross-border resources to confront climate change	2018
7213583629655453228,1411114462101707243	AM O'Brien, RJH Sawers, SY Strauss, J Ross-Ibarra	Adaptive phenotypic divergence in an annual grass differs across biotic contexts	2019
13621041706202411296	MB Hufford, P Gepts, J ROSS‐IBARRA	Influence of cryptic population structure on observed mating patterns in the wild progenitor of maize (Zea mays ssp. parviglumis)	2011
5019892223730894925	C Muñoz-Diez, C Vitte, J Ross-Ibarra, BS Gaut, MI Tenaillon	Using nextgen sequencing to investigate genome size variation and transposable element content	2012
8643764712186211160,3464702864064592867	J Engelhorn, SJ Snodgrass, A Kok, AS Seetharam, M Schneider, T Kiwit, ...	Genetic variation at transcription factor binding sites largely explains phenotypic heritability in maize	2025
